% ID         RA        Dec     Ebv   Gal Long  Gal Lat   Ecl Long  Ecl Lat   Entry 
000001    0.00000   -0.00000   0.03   96.3373  -60.1886    0.0000   -0.0000      1 
000002    2.50780   -0.00000   0.03  101.1014  -61.1045    2.3011   -0.9973      2 
000003    5.01560   -0.00000   0.03  106.1211  -61.8434    4.6036   -1.9930      3 
000004    7.52340   -0.00000   0.02  111.3558  -62.3910    6.9089   -2.9854      4 
000005   10.03120   -0.00000   0.02  116.7484  -62.7358    9.2183   -3.9730      5 
000006   12.53900   -0.00000   0.02  122.2291  -62.8700   11.5332   -4.9542      6 
000007   15.04680   -0.00000   0.03  127.7200  -62.7904   13.8550   -5.9273      7 
000008   17.55460   -0.00000   0.02  133.1422  -62.4989   16.1850   -6.8907      8 
000009   20.06240   -0.00000   0.03  138.4233  -62.0021   18.5244   -7.8428      9 
000010   22.57020   -0.00000   0.03  143.5025  -61.3107   20.8744   -8.7819     10 
000011   25.07800   -0.00000   0.02  148.3349  -60.4386   23.2363   -9.7063     11 
000012   27.58580   -0.00000   0.03  152.8917  -59.4012   25.6111  -10.6146     12 
000013   30.09360   -0.00000   0.03  157.1593  -58.2149   28.0000  -11.5049     13 
000014   32.60140   -0.00000   0.02  161.1361  -56.8957   30.4038  -12.3756     14 
000015   35.10920   -0.00000   0.03  164.8301  -55.4591   32.8235  -13.2250     15 
000016   37.61700   -0.00000   0.02  168.2556  -53.9192   35.2599  -14.0516     16 
000017   40.12480   -0.00000   0.02  171.4306  -52.2890   37.7137  -14.8536     17 
000018   42.63260   -0.00000   0.06  174.3750  -50.5797   40.1855  -15.6293     18 
000019   45.14040   -0.00000   0.09  177.1092  -48.8014   42.6757  -16.3772     19 
000020   47.64820   -0.00000   0.08  179.6530  -46.9630   45.1848  -17.0956     20 
000021   50.15600   -0.00000   0.07  182.0255  -45.0720   47.7128  -17.7828     21 
000022   52.66380   -0.00000   0.09  184.2442  -43.1350   50.2599  -18.4374     22 
000023   55.17160   -0.00000   0.07  186.3253  -41.1579   52.8259  -19.0578     23 
000024   57.67940   -0.00000   0.18  188.2835  -39.1455   55.4106  -19.6424     24 
000025   60.18720   -0.00000   0.39  190.1319  -37.1021   58.0137  -20.1899     25 
000026   62.69500   -0.00000   0.18  191.8826  -35.0316   60.6344  -20.6988     26 
000027   65.20280   -0.00000   0.07  193.5463  -32.9372   63.2721  -21.1678     27 
000028   67.71060   -0.00000   0.04  195.1326  -30.8217   65.9258  -21.5957     28 
000029   70.21840   -0.00000   0.04  196.6502  -28.6878   68.5945  -21.9813     29 
000030   72.72620   -0.00000   0.08  198.1069  -26.5376   71.2769  -22.3235     30 
000031   75.23400   -0.00000   0.07  199.5099  -24.3732   73.9716  -22.6214     31 
000032   77.74180   -0.00000   0.07  200.8654  -22.1963   76.6771  -22.8741     32 
000033   80.24960   -0.00000   0.11  202.1795  -20.0085   79.3918  -23.0809     33 
000034   82.75740   -0.00000   0.12  203.4574  -17.8113   82.1139  -23.2412     34 
000035   85.26520   -0.00000   0.16  204.7042  -15.6060   84.8416  -23.3545     35 
000036   87.77300   -0.00000    0.6  205.9244  -13.3938   87.5729  -23.4205     36 
