# altitude_deg R20_e_sec
10.000000 58.527023
12.000000 62.612198
14.000000 65.706007
16.000000 68.124835
18.000000 70.064318
20.000000 71.651515
22.000000 72.972372
24.000000 74.087037
26.000000 75.038825
28.000000 75.859706
30.000000 76.573778
32.000000 77.199541
34.000000 77.751428
36.000000 78.240860
38.000000 78.676989
40.000000 79.067231
42.000000 79.417656
44.000000 79.733278
46.000000 80.018269
48.000000 80.276131
50.000000 80.509818
52.000000 80.721839
54.000000 80.914332
56.000000 81.089134
58.000000 81.247822
60.000000 81.391761
62.000000 81.522128
64.000000 81.639946
66.000000 81.746103
68.000000 81.841370
70.000000 81.926414
72.000000 82.001813
74.000000 82.068065
76.000000 82.125597
78.000000 82.174771
80.000000 82.215891
82.000000 82.249206
84.000000 82.274917
86.000000 82.293175
88.000000 82.304087
90.000000 82.307717
