# altitude_deg R20_e_sec
10.000000 27.692084
12.000000 28.481432
14.000000 29.067482
16.000000 29.519654
18.000000 29.878866
20.000000 30.170841
22.000000 30.412576
24.000000 30.615765
26.000000 30.788718
28.000000 30.937504
30.000000 31.066662
32.000000 31.179650
34.000000 31.279155
36.000000 31.367290
38.000000 31.445744
40.000000 31.515879
42.000000 31.578809
44.000000 31.635450
46.000000 31.686563
48.000000 31.732785
50.000000 31.774654
52.000000 31.812626
54.000000 31.847087
56.000000 31.878371
58.000000 31.906762
60.000000 31.932508
62.000000 31.955820
64.000000 31.976885
66.000000 31.995860
68.000000 32.012887
70.000000 32.028084
72.000000 32.041555
74.000000 32.053391
76.000000 32.063668
78.000000 32.072452
80.000000 32.079796
82.000000 32.085746
84.000000 32.090337
86.000000 32.093598
88.000000 32.095547
90.000000 32.096195
