# altitude_deg R20_e_sec
10.000000 45.310589
12.000000 46.879099
14.000000 48.032123
16.000000 48.914174
18.000000 49.609784
20.000000 50.171655
22.000000 50.634341
24.000000 51.021430
26.000000 51.349572
28.000000 51.630850
30.000000 51.874246
32.000000 52.086573
34.000000 52.273093
36.000000 52.437930
38.000000 52.584363
40.000000 52.715033
42.000000 52.832084
44.000000 52.937280
46.000000 53.032082
48.000000 53.117707
50.000000 53.195182
52.000000 53.265372
54.000000 53.329014
56.000000 53.386739
58.000000 53.439087
60.000000 53.486523
62.000000 53.529449
64.000000 53.568212
66.000000 53.603114
68.000000 53.634415
70.000000 53.662341
72.000000 53.687087
74.000000 53.708822
76.000000 53.727688
78.000000 53.743809
80.000000 53.757285
82.000000 53.768201
84.000000 53.776623
86.000000 53.782603
88.000000 53.786177
90.000000 53.787366
